nom_asignatura,grupo,totalmatriculados,aprobados,desaprobados,inhabilitados
TECNOLOGIA DE OBJETOS,1,31,25,6,0
ELECTRONICA II,1,31,30,0,1
ELECTRONICA II,1,31,29,2,0
TEORIA DE LENGUAJES,1,31,28,1,2
INGENIERIA DE INFORMACION,1,31,30,1,0
INGENIERIA DE INFORMACION,1,31,27,2,2
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,31,27,1,3
ELECTRONICA I,1,31,31,0,0
ARQUITECTURA DE COMPUTADORAS,1,31,31,0,0
INTELIGENCIA ARTIFICIAL,1,31,30,0,1
TECNOLOGIA DE OBJETOS,1,31,30,1,0
METODOLOGIA DE SISTEMAS,1,31,22,9,0
ADMINISTRACION DE EMPRESAS,1,31,30,1,0
ADMINISTRACION DE CENTROS DE INFORMACION,1,31,28,3,0
GESTION DEL CONOCIMIENTO,1,31,31,0,0
GESTION DEL CONOCIMIENTO,1,31,30,0,1
INTRODUCCION A LA INGENIERIA DE SISTEMAS,1,31,29,2,0
DINAMICA DE SISTEMAS I,2,31,18,9,4
INTELIGENCIA ARTIFICIAL,1,31,31,0,0
INVESTIGACION DE OPERACIONES II,1,31,28,1,2
SEMINARIO DE TESIS  II,1,31,31,0,0
REDES INFORMATICAS EMPRESARIALES  II,1,31,22,8,1
INVESTIGACION DE OPERACIONES II,2,31,24,7,0
SISTEMAS DE INFORMACION II,1,31,0,0,0
ESTRUCTURA DE DATOS,2,31,0,0,0
DISEÑO Y EVALUACION DE PROYECTOS,1,32,31,0,1
SIMULACION,1,32,31,0,1
TEORIA DE COMPILADORES,1,32,29,0,3
INVESTIGACION DE OPERACIONES  III,1,32,31,0,1
AUDITORIA DE SISTEMAS,1,32,29,0,3
TELEPROCESO,1,32,31,0,1
INGENIERIA ECONOMICA,1,32,28,4,0
MATEMATICA III,1,32,27,4,1
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,32,31,0,1
LEGISLACION,1,32,29,1,2
TEORIA DE LENGUAJES,1,32,31,0,1
EPISTEMOLOGIA,2,32,27,5,0
INGENIERIA DE ANALISIS MULTIDIMENSIONAL,1,32,27,4,1
SEMINARIO METODOLOGIA DE LA INVESTIGACION,1,32,17,15,0
SISTEMAS OPERATIVOS,1,32,31,0,1
SISTEMAS DIGITALES,1,32,30,2,0
SISTEMAS DE INFORMACION   I,1,32,32,0,0
SEMINARIO METODOLOGIA DE LA INVESTIGACION,1,32,28,4,0
MATEMATICA I,1,32,30,1,1
ESTRUCTURA DE DATOS,1,32,18,12,2
TENDENCIAS TECNOLOGICAS,1,32,30,0,2
SEMINARIO DE TESIS  II,1,32,32,0,0
METODOLOGIA DE LA PROGRAMACION,2,32,16,16,0
REDES INFORMATICAS EMPRESARIALES I,1,32,32,0,0
TELECOMUNICACIONES,1,32,29,3,0
DINAMICA DE SISTEMAS I,1,32,20,5,7
ECONOMIA GENERAL,1,32,30,2,0
SISTEMAS DIGITALES,1,32,30,2,0
SEGURIDAD INFORMATICA,1,32,31,0,1
SEMINARIO DE TESIS  I,1,32,32,0,0
LENGUAJE Y TECNICAS DE COMUNICACION,1,32,29,3,0
INVESTIGACION DE OPERACIONES I,2,32,28,3,1
AUDITORIA DE SISTEMAS,1,33,33,0,0
INGENIERIA DE SOFTWARE,1,33,33,0,0
INVESTIGACION DE OPERACIONES  II,1,33,28,3,2
REINGENIERIA,1,33,33,0,0
TELEPROCESO,1,33,29,3,1
SISTEMAS DE INFORMACION II,1,33,31,1,1
SISTEMAS OPERATIVOS,1,33,29,2,2
REDES DE COMUNICACION,1,33,32,1,0
LENGUAJE DE MAQUINA,1,33,22,8,3
TALLER DE INGENIERIA DE INFORMACION,1,33,32,0,1
METODOLOGIA DE SISTEMAS,1,33,30,2,1
INVESTIGACION DE OPERACIONES  I,1,33,22,10,1
ELECTRONICA II,1,33,31,1,1
INTELIGENCIA ARTIFICIAL,1,33,32,0,1
DISEÑO Y EVALUACION DE PROYECTOS,1,33,33,0,0
TECNOLOGIA DE OBJETOS,1,33,32,1,0
INVESTIGACION DE OPERACIONES  II,1,33,31,1,1
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,33,22,11,0
INVESTIGACION DE OPERACIONES  III,1,33,30,3,0
EPISTEMOLOGIA,1,33,17,8,8
INGENIERIA DE SOFTWARE,1,33,33,0,0
DIBUJO EN INGENIERIA DE SISTEMAS,1,33,26,4,3
DIBUJO EN INGENIERIA DE SISTEMAS,2,33,29,4,0
DERECHO EMPRESARIAL INFORMATICO,1,33,31,2,0
MARKETING PARA TECNOLOGIAS DE INFORMACION,1,33,30,1,2
SEMINARIO METODOLOGIA DE LA INVESTIGACION,1,33,32,1,0
TELECOMUNICACIONES,1,33,31,2,0
MATEMATICA II,1,33,28,5,0
MATEMATICA I,2,33,16,15,2
ECONOMIA GENERAL,2,33,33,0,0
DINAMICA DE SISTEMAS I,1,33,16,12,5
FISICA II,1,33,26,7,0
AUDITORIA DE SISTEMAS,1,33,33,0,0
DINAMICA DE SISTEMAS II,1,33,31,2,0
TENDENCIAS TECNOLOGICAS,1,33,32,0,1
DINAMICA DE SISTEMAS II,2,33,30,3,0
INGENIERIA DE SOFTWARE,1,33,0,0,0
TENDENCIAS TECNOLOGICAS,1,33,0,0,0
ESTRUCTURA DE DATOS,1,33,0,0,0
DISEÑO Y EVALUACION DE PROYECTOS,1,34,32,2,0
SIMULACION,1,34,25,4,5
ESTADISTICA Y PROBABILIDAD,1,34,20,6,8
TALLER DE INGENIERIA DE INFORMACION,1,34,34,0,0
INVESTIGACION OPERACIONES I,1,34,31,1,2
SISTEMAS DIGITALES,1,34,34,0,0
INTELIGENCIA ARTIFICIAL,1,34,33,1,0
ARQUITECTURA DE COMPUTADORAS,1,34,33,1,0
ORGANIZACION DE ARCHIVOS,1,34,31,3,0
METODOS DE PREDICCION,1,34,31,0,3
MICROCOMPUTACION III,1,34,27,7,0
INTELIGENCIA ARTIFICIAL,1,34,33,1,0
SISTEMAS DE INFORMACION   I,1,34,34,0,0
DISEÑO Y EVALUACION DE PROYECTOS,1,34,34,0,0
LENGUAJE DE MAQUINA,1,34,33,1,0
AUDITORIA DE SISTEMAS,1,34,34,0,0
SISTEMAS OPERATIVOS,1,34,32,2,0
ESTADISTICA PARA INGENIEROS,1,34,25,3,6
SIMULACION,1,34,30,2,2
TEORIA DE LENGUAJES Y COMPILADORES,1,34,29,2,3
MATEMATICA II,1,34,31,2,1
GESTION DEL CONOCIMIENTO,1,34,32,0,2
FISICA II,1,34,24,10,0
TELECOMUNICACIONES,1,34,33,1,0
AUDITORIA DE SISTEMAS,1,34,0,0,0
TECNOLOGIA DE OBJETOS,1,35,34,0,1
REINGENIERIA,1,35,34,0,1
SISTEMAS DE INFORMACION   I,1,35,31,4,0
SISTEMAS DE INFORMACION   I,1,35,23,9,3
ARQUITECTURA DE COMPUTADORAS,1,35,33,2,0
INTELIGENCIA ARTIFICIAL,1,35,35,0,0
LEGISLACION,1,35,33,0,2
TEORIA DE COMPILADORES,1,35,26,9,0
TELEPROCESO,1,35,35,0,0
TEORIA DE LENGUAJES,1,35,34,0,1
INGENIERIA DE SOFTWARE,1,35,33,2,0
METODOS DE PREDICCION,1,35,33,0,2
INVESTIGACION DE OPERACIONES  I,1,35,35,0,0
INTRODUCCION A LA INGENIERIA DE SISTEMAS,2,35,31,1,3
ELECTRONICA DIGITAL,1,35,17,18,0
MATEMATICA I,1,35,31,3,1
INTELIGENCIA ARTIFICIAL,1,35,23,12,0
GERENCIA DE RECURSOS HUMANOS CON T.I.,1,35,34,0,1
REINGENIERIA,1,35,29,4,2
GESTION DEL CONOCIMIENTO,1,35,33,2,0
AUDITORIA DE SISTEMAS,1,35,35,0,0
SIMULACION DE SISTEMAS,1,35,28,6,1
MATEMATICA APLICADA A LAS T.I,1,35,27,4,4
ADMINISTRACION DE PROYECTOS DE SISTEMAS,1,35,32,3,0
TENDENCIAS TECNOLOGICAS,1,35,35,0,0
SEGURIDAD INFORMATICA,1,35,35,0,0
INGENIERIA DE INFORMACION,1,35,35,0,0
COMPUTACION I,1,35,33,2,0
SIMULACION DE SISTEMAS,1,35,32,1,2
SEGURIDAD INFORMATICA,1,35,35,0,0
SEMINARIO METODOLOGIA DE LA INVESTIGACION,1,36,34,2,0
ADMINISTRACION DE CENTROS DE INFORMACION,1,36,36,0,0
ALGORITMOS Y ESTRUCTURA DE DATOS,1,36,29,2,5
ORGANIZACION Y METODOS,1,36,32,4,0
ESTADISTICA Y PROBABILIDAD,1,36,34,2,0
AUDITORIA DE SISTEMAS,1,36,36,0,0
INVESTIGACION DE OPERACIONES  I,1,36,34,2,0
TEORIA DE COMPILADORES,1,36,33,2,1
METODOS NUMERICOS,1,36,31,1,4
REINGENIERIA,1,36,31,3,2
SISTEMAS DE INFORMACION II,1,36,34,2,0
REDES DE COMUNICACION,1,36,33,0,3
SISTEMAS DE INFORMACION II,1,36,29,7,0
INGENIERIA DE INFORMACION,1,36,30,6,0
TELEPROCESO,1,36,35,1,0
ESTADISTICA PARA INGENIEROS,2,36,28,8,0
LOGICO MATEMATICA,1,36,31,1,4
SIMULACION DE SISTEMAS,1,36,26,7,3
SEMINARIO DE TESIS  I,1,36,36,0,0
SEMINARIO DE TESIS  II,1,36,36,0,0
TENDENCIAS TECNOLOGICAS,1,36,35,0,1
SISTEMAS DE INFORMACION II,1,36,36,0,0
SEMINARIO DE TESIS  I,1,36,36,0,0
ESTADISTICA PARA INGENIEROS,2,36,30,6,0
FISICA II,2,36,36,0,0
SISTEMAS DE INFORMACION II,1,36,31,5,0
ECOLOGIA Y MEDIO AMBIENTE,1,36,29,6,1
INVESTIGACION DE OPERACIONES I,1,36,34,2,0
GEOMETRIA  ANALITICA,2,36,15,5,16
INGENIERIA DE SOFTWARE,1,37,33,3,1
SISTEMAS DE INFORMACION II,1,37,36,1,0
FISICA I,1,37,37,0,0
TEORIA DE COMPILADORES,1,37,29,7,1
INVESTIGACION DE OPERACIONES  III,1,37,27,9,1
METODOLOGIA DE SISTEMAS,1,37,34,1,2
INVESTIGACION DE OPERACIONES  I,1,37,33,4,0
INVESTIGACION OPERACIONES II,1,37,29,8,0
AUDITORIA DE SISTEMAS,1,37,37,0,0
AUDITORIA DE SISTEMAS,1,37,36,0,1
REDES DE COMUNICACION,1,37,35,2,0
ADMINISTRACION DE EMPRESAS,1,37,37,0,0
ADMINISTRACION DE CENTROS DE INFORMACION,1,37,37,0,0
REINGENIERIA,1,37,35,2,0
TEORIA DE COMPILADORES,1,37,35,2,0
INGENIERIA DE SOFTWARE,1,37,37,0,0
SISTEMAS DIGITALES,1,37,23,14,0
AUDITORIA DE SISTEMAS,1,37,33,4,0
INGENIERIA DE INFORMACION,1,37,35,2,0
TALLER DE INGENIERIA DE INFORMACION,1,37,28,8,1
SEMINARIO DE TESIS  I,1,37,32,5,0
ELECTRONICA DIGITAL,1,37,31,6,0
AUDITORIA DE SISTEMAS,1,37,37,0,0
SEGURIDAD INFORMATICA,1,37,36,1,0
MATEMATICA I,1,37,18,15,4
TELECOMUNICACIONES,1,37,35,2,0
SISTEMAS EXPERTOS,1,37,36,1,0
